Activity,Type,Date,Time,Timemap
Swedish fit,CORE,03/01/2022,6:15 pm,pm
Swedish fit,CORE,08/01/2022,11:00 am,am
Swedish fit,CORE,12/01/2022,12:30 pm,pm
Swedish fit,FLEX,13/01/2022,1:00 pm,pm
Swedish fit,STANDARD,14/01/2022,6:00 pm,pm
Swedish fit,CORE,17/01/2022,6:15 pm,pm
Swedish fit,CORE,19/01/2022,12:30 pm,pm
Swedish fit,INTENSIF,21/01/2022,12:30 pm,pm
Swedish fit,CORE,22/01/2022,11:00 am,am
Swedish fit,CORE,24/01/2022,6:15 pm,pm
Swedish fit,CORE,26/01/2022,12:30 pm,pm
Swedish fit,CORE,30/01/2022,11:00 am,am
Swedish fit,STANDARD,31/01/2022,12:30 pm,pm
Swedish fit,CORE,02/02/2022,12:30 pm,pm
Swedish fit,CORE,06/02/2022,11:00 am,am
Swedish fit,STANDARD,08/02/2022,12:00 pm,pm
Swedish fit,CORE,09/02/2022,12:30 pm,pm
Swedish fit,INTENSIF,11/02/2022,12:30 pm,pm
Swedish fit,STANDARD,14/02/2022,12:30 pm,pm
Swedish fit,CORE,16/02/2022,12:30 pm,pm
Swedish fit,CORE,21/02/2022,6:15 pm,pm
Swedish fit,CORE,23/02/2022,12:30 pm,pm
Swedish fit,INTENSIF,25/02/2022,12:30 pm,pm
Swedish fit,CORE,27/02/2022,11:00 am,am
Swedish fit,CORE,28/02/2022,6:15 pm,pm
Swedish fit,CORE,02/03/2022,12:30 pm,pm
Swedish fit,INTENSIF,04/03/2022,12:30 pm,pm
Swedish fit,CORE,06/03/2022,11:00 am,am
Swedish fit,CORE,07/03/2022,6:15 pm,pm
Swedish fit,CORE,09/03/2022,12:30 pm,pm
Swedish fit,INTENSIF,11/03/2022,12:30 pm,pm
Swedish fit,CORE,14/03/2022,6:15 pm,pm
Swedish fit,CARDIO PUMP,16/03/2022,7:15 pm,pm
Swedish fit,INTENSIF,17/03/2022,6:15 pm,pm
Swedish fit,CORE,19/03/2022,11:00 am,am
Swedish fit,CORE,21/03/2022,6:15 pm,pm
Swedish fit,CARDIO PUMP,23/03/2022,7:15 pm,pm
Swedish fit,INTENSIF,25/03/2022,12:30 pm,pm
Swedish fit,CARDIO PUMP,27/03/2022,6:00 pm,pm
Swedish fit,CARDIO PUMP,30/03/2022,7:15 pm,pm
Swedish fit,CARDIO PUMP,01/04/2022,7:00 pm,pm
Swedish fit,CARDIO PUMP,10/04/2022,12:00 pm,pm
Swedish fit,CORE,12/04/2022,7:00 pm,pm
Swedish fit,CARDIO PUMP,15/04/2022,7:00 pm,pm
Swedish fit,CARDIO PUMP,17/04/2022,12:00 pm,pm
Swedish fit,CORE,18/04/2022,6:15 pm,pm
Swedish fit,CARDIO PUMP,20/04/2022,7:15 pm,pm
Swedish fit,CORE,25/04/2022,6:15 pm,pm
Swedish fit,CARDIO PUMP,27/04/2022,7:15 pm,pm
Swedish fit,CORE,30/04/2022,10:00 am,am
Swedish fit,CARDIO PUMP,01/05/2022,12:00 pm,pm
Swedish fit,CARDIO PUMP,04/05/2022,7:15 pm,pm
Swedish fit,CARDIO PUMP,07/05/2022,10:00 am,am
Swedish fit,CORE,09/05/2022,10:00 am,am
Swedish fit,CARDIO PUMP,11/05/2022,7:15 pm,pm
Swedish fit,CARDIO PUMP,13/05/2022,7:00 pm,pm
Swedish fit,CORE,15/05/2022,11:00 am,am
Swedish fit,CORE,16/05/2022,6:15 pm,pm
Swedish fit,CARDIO PUMP,18/05/2022,7:15 pm,pm
Swedish fit,CARDIO PUMP,20/05/2022,7:00 pm,pm
Swedish fit,CARDIO PUMP,22/05/2022,6:00 pm,pm
Swedish fit,CARDIO PUMP,03/06/2022,7:00 pm,pm
Swedish fit,INTENSIF,05/06/2022,5:00 pm,pm
Swedish fit,CARDIO PUMP,08/06/2022,7:15 pm,pm
Swedish fit,CARDIO PUMP,12/06/2022,6:00 pm,pm
Swedish fit,CARDIO PUMP,15/06/2022,7:15 pm,pm
Swedish fit,CORE,18/06/2022,11:00 am,am
Swedish fit,CARDIO PUMP,19/06/2022,6:00 pm,pm
Swedish fit,CORE,21/06/2022,7:15 pm,pm
Swedish fit,INTENSIF,27/06/2022,7:15 pm,pm
Swedish fit,CARDIO PUMP,29/06/2022,7:15 pm,pm
Swedish fit,INTENSIF,01/07/2022,12:30 pm,pm
Swedish fit,CARDIO PUMP,08/07/2022,7:00 pm,pm
Swedish fit,CARDIO PUMP,10/07/2022,6:00 pm,pm
Swedish fit,STANDARD,12/07/2022,6:15 pm,pm
Swedish fit,CARDIO PUMP,13/07/2022,7:15 pm,pm
Swedish fit,CARDIO MAX,27/07/2022,1:00 am,am
Swedish fit,CARDIO MAX,29/07/2022,1:00 am,am
Swedish fit,CARDIO HIIT,31/07/2022,1:00 am,am
Swedish fit,CARDIO MAX,02/08/2022,1:00 am,am
Swedish fit,CARDIO HIIT,04/08/2022,1:00 am,am
Swedish fit,CARDIO HIIT,07/08/2022,1:00 am,am
Swedish fit,CARDIO MAX,09/08/2022,1:00 am,am
Swedish fit,CARDIO MAX,11/08/2022,2:00 am,am
Swedish fit,CORE,15/08/2022,5:00 pm,pm
Swedish fit,STANDARD,19/08/2022,6:00 pm,pm
Swedish fit,CARDIO PUMP,21/08/2022,6:00 pm,pm
Swedish fit,CARDIO PUMP,24/08/2022,7:15 pm,pm
Swedish fit,BALLET SCULPT,27/08/2022,12:00 pm,pm
Swedish fit,CARDIO MAX,28/08/2022,11:00 am,am
Swedish fit,PRIMAL MOVES,30/08/2022,7:15 pm,pm
Swedish fit,INTENSIF,05/09/2022,7:15 pm,pm
Swedish fit,STANDARD,13/09/2022,7:00 pm,pm
Swedish fit,INTENSIF,19/09/2022,7:15 pm,pm
Swedish fit,CARDIO PUMP,21/09/2022,7:15 pm,pm
Swedish fit,INTENSIF,24/09/2022,11:30 am,am
Swedish fit,INTENSIF,26/09/2022,7:15 pm,pm
Swedish fit,CARDIO PUMP,28/09/2022,7:15 pm,pm
Swedish fit,INTENSIF,03/10/2022,7:15 pm,pm
Swedish fit,CARDIO HIIT,06/10/2022,6:15 pm,pm
Swedish fit,INTENSIF,08/10/2022,11:30 am,am
Swedish fit,INTENSIF,10/10/2022,7:15 pm,pm
Swedish fit,CARDIO MAX,13/10/2022,12:30 pm,pm
Swedish fit,INTENSIF,16/10/2022,12:00 pm,pm
Swedish fit,STANDARD,18/10/2022,7:00 pm,pm
Swedish fit,CARDIO MAX,20/10/2022,12:30 pm,pm
Swedish fit,INTENSIF,22/10/2022,11:30 am,am
Swedish fit,INTENSIF,24/10/2022,7:15 pm,pm
Swedish fit,CARDIO HIIT,27/10/2022,6:15 pm,pm
Swedish fit,INTENSIF,29/10/2022,11:30 am,am
Swedish fit,CLUBBING,31/10/2022,7:15 pm,pm
Swedish fit,CARDIO HIIT,03/11/2022,6:15 pm,pm
Swedish fit,INTENSIF,05/11/2022,11:30 am,am
Swedish fit,INTENSIF,07/11/2022,7:15 pm,pm
Swedish fit,STANDARD,09/11/2022,12:30 pm,pm
Swedish fit,INTENSIF,12/11/2022,11:30 am,am
Swedish fit,INTENSIF,14/11/2022,7:15 pm,pm
Swedish fit,CARDIO MAX,17/11/2022,12:30 pm,pm
Swedish fit,INTENSIF,19/11/2022,11:30 am,am
Swedish fit,INTENSIF,21/11/2022,7:15 pm,pm
Yoga,Vinyasa,04/01/2022,4:45 pm,pm
Yoga,Vinyasa,05/01/2022,7:00 pm,pm
Yoga,Vinyasa,06/01/2022,12:30 pm,pm
Yoga,Vinyasa,07/01/2022,6:30 pm,pm
Yoga,Vinyasa,09/01/2022,5:00 pm,pm
Yoga,Vinyasa,11/01/2022,7:00 pm,pm
Yoga,Vinyasa,28/01/2022,5:45 pm,pm
Yoga,Vinyasa,03/02/2022,12:30 pm,pm
Yoga,Vinyasa,13/02/2022,5:00 pm,pm
Yoga,Vinyasa,20/02/2022,4:30 pm,pm
Yoga,Vinyasa,13/03/2022,5:00 pm,pm
Yoga,Vinyasa,20/03/2022,3:00 pm,pm
Yoga,Vinyasa,29/03/2022,6:30 pm,pm
Yoga,Vinyasa,10/04/2022,1:00 pm,pm
Yoga,Vinyasa,14/04/2022,12:30 pm,pm
Yoga,Vinyasa,17/04/2022,1:00 pm,pm
Yoga,Vinyasa,24/04/2022,5:00 pm,pm
Yoga,Vinyasa,03/05/2022,6:30 pm,pm
Yoga,Vinyasa,24/05/2022,4:30 pm,pm
Yoga,Vinyasa,25/05/2022,7:00 am,am
Yoga,Vinyasa,25/05/2022,4:30 pm,pm
Yoga,Vinyasa,26/05/2022,7:00 am,am
Yoga,Vinyasa,26/05/2022,4:30 pm,pm
Yoga,Vinyasa,27/05/2022,4:30 pm,pm
Yoga,Vinyasa,28/05/2022,7:00 am,am
Yoga,Vinyasa,28/05/2022,4:30 pm,pm
Yoga,Vinyasa,29/05/2022,7:00 am,am
Yoga,Vinyasa,29/05/2022,4:30 pm,pm
Yoga,Vinyasa,30/05/2022,7:00 am,am
Yoga,Vinyasa,30/05/2022,4:30 pm,pm
Yoga,Vinyasa,31/05/2022,7:00 am,am
Yoga,Vinyasa,02/09/2022,6:30 pm,pm
Yoga,Vinyasa,24/11/2022,7:00 pm,pm
