Date,Weight
1 Jan 2022,
2 Jan 2022,
3 Jan 2022,69.0
4 Jan 2022,69.0
5 Jan 2022,67.9
6 Jan 2022,67.5
7 Jan 2022,67.5
8 Jan 2022,67.4
9 Jan 2022,67.3
10 Jan 2022,66.9
11 Jan 2022,67.0
12 Jan 2022,67.1
13 Jan 2022,66.9
14 Jan 2022,67.1
15 Jan 2022,67.0
16 Jan 2022,66.9
17 Jan 2022,66.5
18 Jan 2022,66.4
19 Jan 2022,66.9
20 Jan 2022,67.0
21 Jan 2022,66.9
22 Jan 2022,66.6
23 Jan 2022,66.6
24 Jan 2022,66.4
25 Jan 2022,66.4
26 Jan 2022,66.4
27 Jan 2022,66.4
28 Jan 2022,66.3
29 Jan 2022,66.2
30 Jan 2022,65.9
31 Jan 2022,65.9
1 Feb 2022,66.0
2 Feb 2022,66.3
3 Feb 2022,66.2
4 Feb 2022,66.2
5 Feb 2022,66.1
6 Feb 2022,66.2
7 Feb 2022,
8 Feb 2022,66.8
9 Feb 2022,66.2
10 Feb 2022,66.5
11 Feb 2022,66.5
12 Feb 2022,66.9
13 Feb 2022,66.5
14 Feb 2022,66.3
15 Feb 2022,66.2
16 Feb 2022,65.7
17 Feb 2022,66.1
18 Feb 2022,64.7
19 Feb 2022,64.9
20 Feb 2022,65.1
21 Feb 2022,65.0
22 Feb 2022,65.2
23 Feb 2022,65.1
24 Feb 2022,
25 Feb 2022,
26 Feb 2022,65.2
27 Feb 2022,65.5
28 Feb 2022,65.2
1 Mar 2022,64.8
2 Mar 2022,65.5
3 Mar 2022,65.8
4 Mar 2022,65.8
5 Mar 2022,65.6
6 Mar 2022,65.6
7 Mar 2022,65.3
8 Mar 2022,65.6
9 Mar 2022,65.7
10 Mar 2022,66.1
11 Mar 2022,65.8
12 Mar 2022,65.7
13 Mar 2022,65.6
14 Mar 2022,65.4
15 Mar 2022,65.6
16 Mar 2022,65.6
17 Mar 2022,66.1
18 Mar 2022,66.1
19 Mar 2022,65.6
20 Mar 2022,65.7
21 Mar 2022,65.6
22 Mar 2022,65.2
23 Mar 2022,65.1
24 Mar 2022,65.0
25 Mar 2022,65.2
26 Mar 2022,65.5
27 Mar 2022,65.4
28 Mar 2022,65.2
29 Mar 2022,65.6
30 Mar 2022,65.4
31 Mar 2022,65.4
1 Apr 2022,65.5
2 Apr 2022,65.1
3 Apr 2022,
4 Apr 2022,
5 Apr 2022,
6 Apr 2022,
7 Apr 2022,
8 Apr 2022,
9 Apr 2022,
10 Apr 2022,64.9
11 Apr 2022,65.0
12 Apr 2022,65.4
13 Apr 2022,65.2
14 Apr 2022,65.3
15 Apr 2022,65.1
16 Apr 2022,64.7
17 Apr 2022,64.4
18 Apr 2022,64.7
19 Apr 2022,64.5
20 Apr 2022,64.2
21 Apr 2022,64.0
22 Apr 2022,64.3
23 Apr 2022,64.5
24 Apr 2022,64.9
25 Apr 2022,64.3
26 Apr 2022,64.5
27 Apr 2022,64.7
28 Apr 2022,64.4
29 Apr 2022,64.5
30 Apr 2022,63.9
1 May 2022,63.8
2 May 2022,63.8
3 May 2022,63.4
4 May 2022,63.8
5 May 2022,63.6
6 May 2022,63.6
7 May 2022,64.2
8 May 2022,63.8
9 May 2022,63.9
10 May 2022,63.9
11 May 2022,63.8
12 May 2022,64.1
13 May 2022,63.8
14 May 2022,63.7
15 May 2022,63.4
16 May 2022,63.4
17 May 2022,63.2
18 May 2022,63.2
19 May 2022,63.6
20 May 2022,63.7
21 May 2022,63.6
22 May 2022,64.5
23 May 2022,63.8
24 May 2022,
25 May 2022,
26 May 2022,
27 May 2022,
28 May 2022,
29 May 2022,
30 May 2022,
31 May 2022,
1 Jun 2022,
2 Jun 2022,62.9
3 Jun 2022,63.1
4 Jun 2022,63.3
5 Jun 2022,63.1
6 Jun 2022,63.8
7 Jun 2022,63.4
8 Jun 2022,62.9
9 Jun 2022,62.6
10 Jun 2022,62.7
11 Jun 2022,62.7
12 Jun 2022,62.9
13 Jun 2022,62.6
14 Jun 2022,62.6
15 Jun 2022,63.0
16 Jun 2022,
17 Jun 2022,63.4
18 Jun 2022,63.3
19 Jun 2022,63.5
20 Jun 2022,63.6
21 Jun 2022,63.4
22 Jun 2022,63.2
23 Jun 2022,62.9
24 Jun 2022,
25 Jun 2022,
26 Jun 2022,
27 Jun 2022,62.6
28 Jun 2022,62.6
29 Jun 2022,62.2
30 Jun 2022,62.1
1 Jul 2022,62.8
2 Jul 2022,
3 Jul 2022,
4 Jul 2022,
5 Jul 2022,
6 Jul 2022,
7 Jul 2022,
8 Jul 2022,61.5
9 Jul 2022,61.5
10 Jul 2022,61.8
11 Jul 2022,61.9
12 Jul 2022,62.4
13 Jul 2022,62.4
14 Jul 2022,62.5
15 Jul 2022,62.2
16 Jul 2022,62.0
17 Jul 2022,62.3
18 Jul 2022,62.3
19 Jul 2022,
20 Jul 2022,
21 Jul 2022,
22 Jul 2022,
23 Jul 2022,
24 Jul 2022,
25 Jul 2022,
26 Jul 2022,
27 Jul 2022,
28 Jul 2022,
29 Jul 2022,
30 Jul 2022,
31 Jul 2022,
1 Aug 2022,
2 Aug 2022,
3 Aug 2022,
4 Aug 2022,
5 Aug 2022,
6 Aug 2022,
7 Aug 2022,
8 Aug 2022,
